workspace_id,species_group,review_domain,workspace_scope,workspace_status,metadata_only_policy,source_collection_execution_status,named_collector_required,second_reviewer_required,source_access_required,copyright_access_required,value_capture_blocker_status,numeric_value_capture_status,route_frequency_capture_status,usable_medication_instruction_status,deidentification_required,human_review_required,clinician_signoff_required,go_no_go_status,notes
workspace:rat_mouse:sedation_anesthesia_risk_source_review,rat_mouse,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:rat_mouse:emergency_stabilization_source_review,rat_mouse,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hedgehog:analgesia_and_pain_control_source_review,hedgehog,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hedgehog:antimicrobial_source_review,hedgehog,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hedgehog:antiparasitic_source_review,hedgehog,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hedgehog:fluid_and_supportive_care_source_review,hedgehog,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hedgehog:sedation_anesthesia_risk_source_review,hedgehog,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:hedgehog:emergency_stabilization_source_review,hedgehog,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:sugar_glider:analgesia_and_pain_control_source_review,sugar_glider,analgesia_and_pain_control_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:sugar_glider:antimicrobial_source_review,sugar_glider,antimicrobial_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:sugar_glider:antiparasitic_source_review,sugar_glider,antiparasitic_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:sugar_glider:fluid_and_supportive_care_source_review,sugar_glider,fluid_and_supportive_care_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:sugar_glider:sedation_anesthesia_risk_source_review,sugar_glider,sedation_anesthesia_risk_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
workspace:sugar_glider:emergency_stabilization_source_review,sugar_glider,emergency_stabilization_source_review,exotics_drug_dose_source_review_metadata_only,defined_not_populated,metadata_only_no_medication_values,not_started,true,true,true,true,required_enabled_before_use,blocked,blocked,blocked,true,true,true,NO_GO_TO_SOURCE_COLLECTION_EXECUTION,"workspace shell only; no dose, route, frequency, prescription, treatment protocol, client instruction, or copyrighted full text"
