activation_final_go_no_go_id,species_group,review_domain,final_go_no_go_scope,readiness_report_status,activation_readiness_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,pilot_sample_limit_status,halt_rule_status,final_go_no_go_status,governance_decision,collection_activation_status,collection_execution_status,human_review_required,clinician_signoff_required,next_required_stage
activation-final-go-no-go:amphibian:fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:amphibian:sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:amphibian:emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:fish:analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:fish:antimicrobial_source_review,fish,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:fish:antiparasitic_source_review,fish,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:fish:fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:fish:sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:fish:emergency_stabilization_source_review,fish,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:guinea_pig:analgesia_and_pain_control_source_review,guinea_pig,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:guinea_pig:antimicrobial_source_review,guinea_pig,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:guinea_pig:antiparasitic_source_review,guinea_pig,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:guinea_pig:fluid_and_supportive_care_source_review,guinea_pig,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:guinea_pig:sedation_anesthesia_risk_source_review,guinea_pig,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:guinea_pig:emergency_stabilization_source_review,guinea_pig,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hamster:analgesia_and_pain_control_source_review,hamster,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hamster:antimicrobial_source_review,hamster,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hamster:antiparasitic_source_review,hamster,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hamster:fluid_and_supportive_care_source_review,hamster,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hamster:sedation_anesthesia_risk_source_review,hamster,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hamster:emergency_stabilization_source_review,hamster,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:chinchilla:analgesia_and_pain_control_source_review,chinchilla,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:chinchilla:antimicrobial_source_review,chinchilla,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:chinchilla:antiparasitic_source_review,chinchilla,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:chinchilla:fluid_and_supportive_care_source_review,chinchilla,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:chinchilla:sedation_anesthesia_risk_source_review,chinchilla,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:chinchilla:emergency_stabilization_source_review,chinchilla,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rat_mouse:analgesia_and_pain_control_source_review,rat_mouse,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rat_mouse:antimicrobial_source_review,rat_mouse,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rat_mouse:antiparasitic_source_review,rat_mouse,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rat_mouse:fluid_and_supportive_care_source_review,rat_mouse,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rat_mouse:sedation_anesthesia_risk_source_review,rat_mouse,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:rat_mouse:emergency_stabilization_source_review,rat_mouse,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hedgehog:analgesia_and_pain_control_source_review,hedgehog,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hedgehog:antimicrobial_source_review,hedgehog,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hedgehog:antiparasitic_source_review,hedgehog,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hedgehog:fluid_and_supportive_care_source_review,hedgehog,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hedgehog:sedation_anesthesia_risk_source_review,hedgehog,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
activation-final-go-no-go:hedgehog:emergency_stabilization_source_review,hedgehog,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report_final_go_no_go,report_shell_defined_no_collection_results,defined_not_passed,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,required_before_activation,required_before_activation,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,not_started_not_allowed,not_started_not_allowed,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_V1
