activation_readiness_report_id,species_group,review_domain,activation_readiness_scope,readiness_report_status,activation_readiness_status,final_go_no_go_status,governance_signoff_record_final_go_no_go_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,activation_scope_status,pilot_sample_limit_status,halt_rule_status,collection_activation_status,collection_execution_status,report_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
activation-readiness-report:amphibian:fluid_and_supportive_care_source_review,amphibian,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:amphibian:sedation_anesthesia_risk_source_review,amphibian,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:amphibian:emergency_stabilization_source_review,amphibian,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:fish:analgesia_and_pain_control_source_review,fish,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:fish:antimicrobial_source_review,fish,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:fish:antiparasitic_source_review,fish,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:fish:fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:fish:sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:fish:emergency_stabilization_source_review,fish,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:guinea_pig:analgesia_and_pain_control_source_review,guinea_pig,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:guinea_pig:antimicrobial_source_review,guinea_pig,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:guinea_pig:antiparasitic_source_review,guinea_pig,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:guinea_pig:fluid_and_supportive_care_source_review,guinea_pig,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:guinea_pig:sedation_anesthesia_risk_source_review,guinea_pig,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:guinea_pig:emergency_stabilization_source_review,guinea_pig,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hamster:analgesia_and_pain_control_source_review,hamster,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hamster:antimicrobial_source_review,hamster,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hamster:antiparasitic_source_review,hamster,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hamster:fluid_and_supportive_care_source_review,hamster,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hamster:sedation_anesthesia_risk_source_review,hamster,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hamster:emergency_stabilization_source_review,hamster,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:chinchilla:analgesia_and_pain_control_source_review,chinchilla,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:chinchilla:antimicrobial_source_review,chinchilla,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:chinchilla:antiparasitic_source_review,chinchilla,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:chinchilla:fluid_and_supportive_care_source_review,chinchilla,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:chinchilla:sedation_anesthesia_risk_source_review,chinchilla,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:chinchilla:emergency_stabilization_source_review,chinchilla,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rat_mouse:analgesia_and_pain_control_source_review,rat_mouse,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rat_mouse:antimicrobial_source_review,rat_mouse,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rat_mouse:antiparasitic_source_review,rat_mouse,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rat_mouse:fluid_and_supportive_care_source_review,rat_mouse,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rat_mouse:sedation_anesthesia_risk_source_review,rat_mouse,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:rat_mouse:emergency_stabilization_source_review,rat_mouse,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hedgehog:analgesia_and_pain_control_source_review,hedgehog,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hedgehog:antimicrobial_source_review,hedgehog,antimicrobial_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hedgehog:antiparasitic_source_review,hedgehog,antiparasitic_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hedgehog:fluid_and_supportive_care_source_review,hedgehog,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hedgehog:sedation_anesthesia_risk_source_review,hedgehog,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
activation-readiness-report:hedgehog:emergency_stabilization_source_review,hedgehog,emergency_stabilization_source_review,metadata_only_source_collection_activation_readiness_report,shell_defined_no_collection_results,defined_not_passed,no_go_to_activation,no_go_to_collection_execution,required_not_completed,required_not_completed,required_not_verified,required_not_verified,defined_not_populated,defined_not_executed,required_before_activation,metadata_only_scope_defined,required_before_activation,required_before_activation,not_started_not_allowed,not_started_not_allowed,readiness_report_shell_only,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_FINAL_GO_NO_GO_V1
