activation_readiness_id,species_group,review_domain,final_go_no_go_status,governance_signoff_record_status,governance_signoff_record_validation_status,clinical_owner_activation_status,second_reviewer_activation_status,source_access_activation_status,copyright_access_activation_status,metadata_only_workspace_status,metadata_only_validation_status,forbidden_value_scanner_status,activation_scope_status,pilot_sample_limit_status,halt_rule_status,collection_activation_allowed_now,collection_execution_started,collection_execution_allowed_now,pilot_execution_allowed_now,dose_output_enabled,governance_decision,next_required_stage,human_review_required,clinician_signoff_required
activation-readiness-guinea_pig-analgesia_and_pain_control_source_review,guinea_pig,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-guinea_pig-antimicrobial_source_review,guinea_pig,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-guinea_pig-antiparasitic_source_review,guinea_pig,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-guinea_pig-fluid_and_supportive_care_source_review,guinea_pig,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-guinea_pig-sedation_anesthesia_risk_source_review,guinea_pig,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-guinea_pig-emergency_stabilization_source_review,guinea_pig,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hamster-analgesia_and_pain_control_source_review,hamster,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hamster-antimicrobial_source_review,hamster,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hamster-antiparasitic_source_review,hamster,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hamster-fluid_and_supportive_care_source_review,hamster,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hamster-sedation_anesthesia_risk_source_review,hamster,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hamster-emergency_stabilization_source_review,hamster,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-chinchilla-analgesia_and_pain_control_source_review,chinchilla,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-chinchilla-antimicrobial_source_review,chinchilla,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-chinchilla-antiparasitic_source_review,chinchilla,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-chinchilla-fluid_and_supportive_care_source_review,chinchilla,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-chinchilla-sedation_anesthesia_risk_source_review,chinchilla,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-chinchilla-emergency_stabilization_source_review,chinchilla,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rat_mouse-analgesia_and_pain_control_source_review,rat_mouse,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rat_mouse-antimicrobial_source_review,rat_mouse,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rat_mouse-antiparasitic_source_review,rat_mouse,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rat_mouse-fluid_and_supportive_care_source_review,rat_mouse,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rat_mouse-sedation_anesthesia_risk_source_review,rat_mouse,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-rat_mouse-emergency_stabilization_source_review,rat_mouse,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hedgehog-analgesia_and_pain_control_source_review,hedgehog,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hedgehog-antimicrobial_source_review,hedgehog,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hedgehog-antiparasitic_source_review,hedgehog,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hedgehog-fluid_and_supportive_care_source_review,hedgehog,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hedgehog-sedation_anesthesia_risk_source_review,hedgehog,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-hedgehog-emergency_stabilization_source_review,hedgehog,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-sugar_glider-analgesia_and_pain_control_source_review,sugar_glider,analgesia_and_pain_control_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-sugar_glider-antimicrobial_source_review,sugar_glider,antimicrobial_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-sugar_glider-antiparasitic_source_review,sugar_glider,antiparasitic_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-sugar_glider-fluid_and_supportive_care_source_review,sugar_glider,fluid_and_supportive_care_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-sugar_glider-sedation_anesthesia_risk_source_review,sugar_glider,sedation_anesthesia_risk_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
activation-readiness-sugar_glider-emergency_stabilization_source_review,sugar_glider,emergency_stabilization_source_review,defined_no_collection_execution,defined_not_completed,defined_not_executed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,defined_not_populated,defined_not_executed,required_not_validated,defined_as_metadata_only,required_not_started,required_not_started,false,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,GO_TO_EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_READINESS_REPORT_V1,true,true
