governance_signoff_record_id,species_group,review_domain,governance_signoff_id,workspace_scope,clinical_owner_record_status,second_reviewer_record_status,source_access_record_status,copyright_access_record_status,metadata_only_policy_record_status,value_capture_blocker_record_status,collection_execution_status,signoff_record_status,signoff_completed_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
gov-signoff-record-guinea_pig-antimicrobial_source_review,guinea_pig,antimicrobial_source_review,gov-signoff-guinea_pig-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-guinea_pig-antiparasitic_source_review,guinea_pig,antiparasitic_source_review,gov-signoff-guinea_pig-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-guinea_pig-fluid_and_supportive_care_source_review,guinea_pig,fluid_and_supportive_care_source_review,gov-signoff-guinea_pig-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-guinea_pig-sedation_anesthesia_risk_source_review,guinea_pig,sedation_anesthesia_risk_source_review,gov-signoff-guinea_pig-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-guinea_pig-emergency_stabilization_source_review,guinea_pig,emergency_stabilization_source_review,gov-signoff-guinea_pig-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hamster-analgesia_and_pain_control_source_review,hamster,analgesia_and_pain_control_source_review,gov-signoff-hamster-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hamster-antimicrobial_source_review,hamster,antimicrobial_source_review,gov-signoff-hamster-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hamster-antiparasitic_source_review,hamster,antiparasitic_source_review,gov-signoff-hamster-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hamster-fluid_and_supportive_care_source_review,hamster,fluid_and_supportive_care_source_review,gov-signoff-hamster-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hamster-sedation_anesthesia_risk_source_review,hamster,sedation_anesthesia_risk_source_review,gov-signoff-hamster-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hamster-emergency_stabilization_source_review,hamster,emergency_stabilization_source_review,gov-signoff-hamster-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-chinchilla-analgesia_and_pain_control_source_review,chinchilla,analgesia_and_pain_control_source_review,gov-signoff-chinchilla-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-chinchilla-antimicrobial_source_review,chinchilla,antimicrobial_source_review,gov-signoff-chinchilla-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-chinchilla-antiparasitic_source_review,chinchilla,antiparasitic_source_review,gov-signoff-chinchilla-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-chinchilla-fluid_and_supportive_care_source_review,chinchilla,fluid_and_supportive_care_source_review,gov-signoff-chinchilla-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-chinchilla-sedation_anesthesia_risk_source_review,chinchilla,sedation_anesthesia_risk_source_review,gov-signoff-chinchilla-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-chinchilla-emergency_stabilization_source_review,chinchilla,emergency_stabilization_source_review,gov-signoff-chinchilla-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rat_mouse-analgesia_and_pain_control_source_review,rat_mouse,analgesia_and_pain_control_source_review,gov-signoff-rat_mouse-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rat_mouse-antimicrobial_source_review,rat_mouse,antimicrobial_source_review,gov-signoff-rat_mouse-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rat_mouse-antiparasitic_source_review,rat_mouse,antiparasitic_source_review,gov-signoff-rat_mouse-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rat_mouse-fluid_and_supportive_care_source_review,rat_mouse,fluid_and_supportive_care_source_review,gov-signoff-rat_mouse-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rat_mouse-sedation_anesthesia_risk_source_review,rat_mouse,sedation_anesthesia_risk_source_review,gov-signoff-rat_mouse-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-rat_mouse-emergency_stabilization_source_review,rat_mouse,emergency_stabilization_source_review,gov-signoff-rat_mouse-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hedgehog-analgesia_and_pain_control_source_review,hedgehog,analgesia_and_pain_control_source_review,gov-signoff-hedgehog-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hedgehog-antimicrobial_source_review,hedgehog,antimicrobial_source_review,gov-signoff-hedgehog-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hedgehog-antiparasitic_source_review,hedgehog,antiparasitic_source_review,gov-signoff-hedgehog-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hedgehog-fluid_and_supportive_care_source_review,hedgehog,fluid_and_supportive_care_source_review,gov-signoff-hedgehog-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hedgehog-sedation_anesthesia_risk_source_review,hedgehog,sedation_anesthesia_risk_source_review,gov-signoff-hedgehog-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-hedgehog-emergency_stabilization_source_review,hedgehog,emergency_stabilization_source_review,gov-signoff-hedgehog-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-sugar_glider-analgesia_and_pain_control_source_review,sugar_glider,analgesia_and_pain_control_source_review,gov-signoff-sugar_glider-analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-sugar_glider-antimicrobial_source_review,sugar_glider,antimicrobial_source_review,gov-signoff-sugar_glider-antimicrobial_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-sugar_glider-antiparasitic_source_review,sugar_glider,antiparasitic_source_review,gov-signoff-sugar_glider-antiparasitic_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-sugar_glider-fluid_and_supportive_care_source_review,sugar_glider,fluid_and_supportive_care_source_review,gov-signoff-sugar_glider-fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-sugar_glider-sedation_anesthesia_risk_source_review,sugar_glider,sedation_anesthesia_risk_source_review,gov-signoff-sugar_glider-sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
gov-signoff-record-sugar_glider-emergency_stabilization_source_review,sugar_glider,emergency_stabilization_source_review,gov-signoff-sugar_glider-emergency_stabilization_source_review,metadata_only_source_review_workspace,required_not_recorded,required_not_recorded,required_not_recorded,required_not_recorded,defined_not_signed,required_enabled_not_signed,not_started_not_allowed,schema_defined_no_signed_record,not_completed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_VALIDATION_V1
