execution_readiness_id,species_group,review_domain,source_collection_protocol_reference,source_registry_reference,evidence_table_reference,collector_assignment_status,second_reviewer_status,source_access_status,copyright_access_status,workspace_status,deidentification_required,value_capture_policy,dose_output_enabled,route_or_frequency_capture_enabled,collection_execution_status,go_no_go
exec-ready-fish-antiparasitic-source-review,fish,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-fish-fluid-and-supportive-care-source-review,fish,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-fish-sedation-anesthesia-risk-source-review,fish,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-fish-emergency-stabilization-source-review,fish,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-guinea-pig-analgesia-and-pain-control-source-review,guinea_pig,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-guinea-pig-antimicrobial-source-review,guinea_pig,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-guinea-pig-antiparasitic-source-review,guinea_pig,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-guinea-pig-fluid-and-supportive-care-source-review,guinea_pig,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-guinea-pig-sedation-anesthesia-risk-source-review,guinea_pig,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-guinea-pig-emergency-stabilization-source-review,guinea_pig,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hamster-analgesia-and-pain-control-source-review,hamster,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hamster-antimicrobial-source-review,hamster,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hamster-antiparasitic-source-review,hamster,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hamster-fluid-and-supportive-care-source-review,hamster,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hamster-sedation-anesthesia-risk-source-review,hamster,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hamster-emergency-stabilization-source-review,hamster,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-chinchilla-analgesia-and-pain-control-source-review,chinchilla,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-chinchilla-antimicrobial-source-review,chinchilla,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-chinchilla-antiparasitic-source-review,chinchilla,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-chinchilla-fluid-and-supportive-care-source-review,chinchilla,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-chinchilla-sedation-anesthesia-risk-source-review,chinchilla,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-chinchilla-emergency-stabilization-source-review,chinchilla,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rat-mouse-analgesia-and-pain-control-source-review,rat_mouse,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rat-mouse-antimicrobial-source-review,rat_mouse,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rat-mouse-antiparasitic-source-review,rat_mouse,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rat-mouse-fluid-and-supportive-care-source-review,rat_mouse,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rat-mouse-sedation-anesthesia-risk-source-review,rat_mouse,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-rat-mouse-emergency-stabilization-source-review,rat_mouse,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hedgehog-analgesia-and-pain-control-source-review,hedgehog,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hedgehog-antimicrobial-source-review,hedgehog,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hedgehog-antiparasitic-source-review,hedgehog,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hedgehog-fluid-and-supportive-care-source-review,hedgehog,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hedgehog-sedation-anesthesia-risk-source-review,hedgehog,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-hedgehog-emergency-stabilization-source-review,hedgehog,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-sugar-glider-analgesia-and-pain-control-source-review,sugar_glider,analgesia_and_pain_control_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-sugar-glider-antimicrobial-source-review,sugar_glider,antimicrobial_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-sugar-glider-antiparasitic-source-review,sugar_glider,antiparasitic_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-sugar-glider-fluid-and-supportive-care-source-review,sugar_glider,fluid_and_supportive_care_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-sugar-glider-sedation-anesthesia-risk-source-review,sugar_glider,sedation_anesthesia_risk_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
exec-ready-sugar-glider-emergency-stabilization-source-review,sugar_glider,emergency_stabilization_source_review,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_COLLECTION_PROTOCOL_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_SOURCE_REGISTRY_V1,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_EVIDENCE_TABLES_V1,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,required_not_created,true,metadata_only_no_medication_values,false,false,not_started,NO_GO_FOR_COLLECTION_EXECUTION_UNTIL_REVIEWERS_ACCESS_AND_WORKSPACE_ARE_APPROVED
