species_group,species_scope,taxonomy_group,review_domain,evidence_minimum,current_status,controlled_research_task,required_metadata_only,blocked_content,go_no_go_requirement,dose_output_enabled,prescription_enabled,client_facing,notes
hedgehog,hedgehog,insectivore,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hedgehog,hedgehog,insectivore,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hedgehog,hedgehog,insectivore,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
hedgehog,hedgehog,insectivore,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
sugar_glider,sugar_glider,marsupial,analgesia_and_pain_control_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,pain control source hierarchy and species contraindication review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
sugar_glider,sugar_glider,marsupial,antimicrobial_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,antimicrobial stewardship and species safety review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
sugar_glider,sugar_glider,marsupial,antiparasitic_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,parasite treatment source and species toxicity review,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
sugar_glider,sugar_glider,marsupial,fluid_and_supportive_care_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,fluid and supportive care source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
sugar_glider,sugar_glider,marsupial,sedation_anesthesia_risk_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,sedation and anesthesia risk source review without protocols,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
sugar_glider,sugar_glider,marsupial,emergency_stabilization_source_review,primary_exotics_reference + species_specific_source + clinician_reviewer,not_started,emergency stabilization source review without dose instructions,source_title;source_type;species_scope;publication_year;reviewer_id;limitations,no numerical dose;no route;no frequency;no prescription;no treatment_plan,two reviewed sources or unresolved gap before any future policy draft,false,false,false,Controlled research register only; do not enter dose values in this matrix.
