activation_governance_signoff_id,species_group,review_domain,activation_governance_scope,activation_readiness_final_go_no_go_status,clinical_owner_signoff_status,second_reviewer_signoff_status,source_access_signoff_status,copyright_access_signoff_status,metadata_only_workspace_signoff_status,forbidden_value_scanner_signoff_status,value_capture_blocker_signoff_status,activation_signoff_status,activation_allowed_now,collection_execution_started,collection_execution_allowed_now,pilot_execution_allowed_now,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
activation-governance-signoff:fish:fluid_and_supportive_care_source_review,fish,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:fish:sedation_anesthesia_risk_source_review,fish,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:fish:emergency_stabilization_source_review,fish,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:guinea_pig:analgesia_and_pain_control_source_review,guinea_pig,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:guinea_pig:antimicrobial_source_review,guinea_pig,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:guinea_pig:antiparasitic_source_review,guinea_pig,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:guinea_pig:fluid_and_supportive_care_source_review,guinea_pig,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:guinea_pig:sedation_anesthesia_risk_source_review,guinea_pig,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:guinea_pig:emergency_stabilization_source_review,guinea_pig,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hamster:analgesia_and_pain_control_source_review,hamster,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hamster:antimicrobial_source_review,hamster,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hamster:antiparasitic_source_review,hamster,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hamster:fluid_and_supportive_care_source_review,hamster,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hamster:sedation_anesthesia_risk_source_review,hamster,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hamster:emergency_stabilization_source_review,hamster,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:chinchilla:analgesia_and_pain_control_source_review,chinchilla,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:chinchilla:antimicrobial_source_review,chinchilla,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:chinchilla:antiparasitic_source_review,chinchilla,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:chinchilla:fluid_and_supportive_care_source_review,chinchilla,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:chinchilla:sedation_anesthesia_risk_source_review,chinchilla,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:chinchilla:emergency_stabilization_source_review,chinchilla,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rat_mouse:analgesia_and_pain_control_source_review,rat_mouse,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rat_mouse:antimicrobial_source_review,rat_mouse,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rat_mouse:antiparasitic_source_review,rat_mouse,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rat_mouse:fluid_and_supportive_care_source_review,rat_mouse,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rat_mouse:sedation_anesthesia_risk_source_review,rat_mouse,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:rat_mouse:emergency_stabilization_source_review,rat_mouse,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hedgehog:analgesia_and_pain_control_source_review,hedgehog,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hedgehog:antimicrobial_source_review,hedgehog,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hedgehog:antiparasitic_source_review,hedgehog,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hedgehog:fluid_and_supportive_care_source_review,hedgehog,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hedgehog:sedation_anesthesia_risk_source_review,hedgehog,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:hedgehog:emergency_stabilization_source_review,hedgehog,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:sugar_glider:analgesia_and_pain_control_source_review,sugar_glider,analgesia_and_pain_control_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:sugar_glider:antimicrobial_source_review,sugar_glider,antimicrobial_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:sugar_glider:antiparasitic_source_review,sugar_glider,antiparasitic_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:sugar_glider:fluid_and_supportive_care_source_review,sugar_glider,fluid_and_supportive_care_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:sugar_glider:sedation_anesthesia_risk_source_review,sugar_glider,sedation_anesthesia_risk_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
activation-governance-signoff:sugar_glider:emergency_stabilization_source_review,sugar_glider,emergency_stabilization_source_review,metadata_only_source_collection_activation_governance_signoff,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,required_not_completed,not_completed,false,false,false,false,NO_GO_TO_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_SOURCE_COLLECTION_ACTIVATION_GOVERNANCE_SIGNOFF_RECORD_V1
