governance_signoff_id,species_group,review_domain,workspace_scope,workspace_status,workspace_validation_status,validation_report_status,named_clinical_owner_status,second_reviewer_status,source_access_status,copyright_access_status,metadata_only_policy,value_capture_blocker_status,collection_execution_status,governance_signoff_status,go_no_go_status,human_review_required,clinician_signoff_required,next_required_stage
gov-signoff-guinea_pig-fluid_and_supportive_care_source_review,guinea_pig,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-guinea_pig-sedation_anesthesia_risk_source_review,guinea_pig,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-guinea_pig-emergency_stabilization_source_review,guinea_pig,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hamster-analgesia_and_pain_control_source_review,hamster,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hamster-antimicrobial_source_review,hamster,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hamster-antiparasitic_source_review,hamster,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hamster-fluid_and_supportive_care_source_review,hamster,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hamster-sedation_anesthesia_risk_source_review,hamster,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hamster-emergency_stabilization_source_review,hamster,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-chinchilla-analgesia_and_pain_control_source_review,chinchilla,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-chinchilla-antimicrobial_source_review,chinchilla,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-chinchilla-antiparasitic_source_review,chinchilla,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-chinchilla-fluid_and_supportive_care_source_review,chinchilla,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-chinchilla-sedation_anesthesia_risk_source_review,chinchilla,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-chinchilla-emergency_stabilization_source_review,chinchilla,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rat_mouse-analgesia_and_pain_control_source_review,rat_mouse,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rat_mouse-antimicrobial_source_review,rat_mouse,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rat_mouse-antiparasitic_source_review,rat_mouse,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rat_mouse-fluid_and_supportive_care_source_review,rat_mouse,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rat_mouse-sedation_anesthesia_risk_source_review,rat_mouse,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-rat_mouse-emergency_stabilization_source_review,rat_mouse,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hedgehog-analgesia_and_pain_control_source_review,hedgehog,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hedgehog-antimicrobial_source_review,hedgehog,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hedgehog-antiparasitic_source_review,hedgehog,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hedgehog-fluid_and_supportive_care_source_review,hedgehog,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hedgehog-sedation_anesthesia_risk_source_review,hedgehog,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-hedgehog-emergency_stabilization_source_review,hedgehog,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-sugar_glider-analgesia_and_pain_control_source_review,sugar_glider,analgesia_and_pain_control_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-sugar_glider-antimicrobial_source_review,sugar_glider,antimicrobial_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-sugar_glider-antiparasitic_source_review,sugar_glider,antiparasitic_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-sugar_glider-fluid_and_supportive_care_source_review,sugar_glider,fluid_and_supportive_care_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-sugar_glider-sedation_anesthesia_risk_source_review,sugar_glider,sedation_anesthesia_risk_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
gov-signoff-sugar_glider-emergency_stabilization_source_review,sugar_glider,emergency_stabilization_source_review,metadata_only_source_review_workspace,defined_not_populated,defined_not_executed,defined_no_collection_results,required_not_assigned,required_not_assigned,required_not_verified,required_not_verified,metadata_only_no_medication_values,enabled_forbidden_value_columns_absent,not_started_not_allowed,defined_not_signed,NO_GO_TO_COLLECTION_EXECUTION,true,true,EXOTICS_DRUG_DOSE_SOURCE_REVIEW_METADATA_ONLY_COLLECTION_WORKSPACE_GOVERNANCE_SIGNOFF_RECORD_V1
